type,seq,timestamp,taget_seq,taget,mac,rssi,rate,sig_mode,mcs,cwb,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel_primary,channel_secondary,local_timestamp,ant,sig_len,rx_state,len,first_word_invalid,data
CSI_DATA,639345,2023-10-19 19:25:17.161,1,applause,d4:da:21:98:07:d9,-28,11,0,0,0,0,0,0,0,0,0,-96,0,12,2,3062883442,0,37,0,104,0,"[1, 3, -1, 4, -2, 6, -3, 9, -2, 11, -2, 13, -1, 15, 1, 16, 2, 17, 3, 18, 3, 18, 4, 16, 3, 13, 2, 10, 1, 7, -2, 4, -4, 1, -8, -1, -11, -2, -14, -3, -17, -2, -20, -1, -22, 1, -25, 2, -26, 5, -25, 7, -22, 9, -20, 8, -18, 6, -14, 3, -12, 0, -10, -4, -7, -8, -6, -11, -5, -14, -4, -17, -3, -19, -3, -19, -4, -18, -4, -18, -5, -16, -4, -14, -3, -11, -3, -8, -1, -6, 1, -4, 4, -2, 7, -1, 9, 0, 12, 1, 14, 1, 14, 0]"
CSI_DATA,639346,2023-10-19 19:25:17.178,1,applause,d4:da:21:98:07:d9,-28,11,0,0,0,0,0,0,0,0,0,-96,0,12,2,3062895447,0,37,0,104,0,"[3, 0, 3, 3, 4, 6, 6, 8, 8, 9, 10, 10, 13, 10, 14, 9, 16, 9, 17, 8, 17, 7, 16, 6, 13, 4, 11, 3, 6, 3, 3, 3, -2, 3, -6, 5, -9, 6, -12, 9, -13, 11, -14, 15, -14, 18, -14, 21, -13, 24, -11, 25, -9, 24, -8, 21, -7, 18, -7, 13, -8, 9, -10, 4, -11, -1, -12, -5, -14, -8, -16, -10, -17, -12, -17, -12, -16, -11, -16, -11, -15, -9, -13, -8, -10, -6, -8, -5, -4, -5, -1, -5, 2, -5, 5, -6, 8, -7, 10, -8, 12, -10, 12, -10]"
CSI_DATA,639347,2023-10-19 19:25:17.187,1,applause,d4:da:21:98:07:d9,-29,11,0,0,0,0,0,0,0,0,0,-96,0,12,2,3062911449,0,37,0,104,0,"[1, -3, 4, -2, 7, -3, 9, -4, 11, -7, 12, -8, 13, -11, 13, -12, 13, -14, 12, -15, 12, -16, 10, -15, 7, -13, 6, -10, 4, -6, 3, -3, 2, 2, 1, 6, 1, 10, 3, 13, 4, 16, 6, 19, 10, 20, 13, 22, 15, 23, 17, 22, 17, 19, 15, 18, 12, 15, 7, 13, 3, 11, -2, 9, -7, 7, -11, 6, -16, 5, -19, 4, -21, 4, -21, 4, -20, 4, -20, 4, -18, 4, -15, 3, -12, 2, -9, 2, -6, -1, -4, -3, -1, -5, 1, -8, 3, -11, 4, -13, 5, -16, 5, -16]"
CSI_DATA,639348,2023-10-19 19:25:17.201,1,applause,d4:da:21:98:07:d9,-29,11,0,0,0,0,0,0,0,0,0,-96,0,12,2,3062924433,0,37,0,104,0,"[0, -3, 2, -5, 3, -8, 4, -10, 3, -13, 3, -16, 1, -17, 0, -18, -1, -19, -2, -19, -3, -20, -4, -18, -4, -15, -3, -12, -2, -8, 0, -4, 2, 0, 4, 3, 7, 6, 11, 7, 14, 8, 18, 8, 21, 7, 24, 7, 27, 6, 28, 4, 26, 2, 23, 2, 19, 3, 14, 3, 10, 5, 5, 7, -1, 9, -5, 11, -9, 13, -11, 15, -14, 16, -14, 16, -13, 16, -13, 16, -11, 14, -9, 12, -7, 10, -6, 7, -5, 4, -4, 0, -4, -4, -4, -7, -4, -10, -4, -14, -5, -16, -5, -17]"
CSI_DATA,639349,2023-10-19 19:25:17.208,1,applause,d4:da:21:98:07:d9,-29,11,0,0,0,0,0,0,0,0,0,-96,0,12,2,3062931445,0,37,0,104,0,"[-3, -1, -5, -3, -8, -5, -10, -6, -13, -6, -15, -5, -18, -5, -18, -3, -20, -2, -20, -1, -21, 0, -19, 0, -15, 1, -13, 1, -8, 0, -4, -1, 0, -2, 4, -5, 7, -7, 10, -10, 11, -13, 12, -17, 12, -20, 13, -24, 12, -27, 10, -27, 8, -26, 8, -24, 7, -19, 7, -14, 8, -9, 9, -3, 9, 2, 10, 7, 10, 12, 11, 15, 12, 18, 12, 18, 11, 17, 11, 17, 10, 15, 9, 12, 7, 10, 5, 7, 2, 5, -1, 3, -4, 1, -8, 0, -11, -1, -14, -2, -17, -3, -18, -2]"
CSI_DATA,639350,2023-10-19 19:25:17.220,1,applause,d4:da:21:98:07:d9,-29,11,0,0,0,0,0,0,0,0,0,-96,0,12,2,3062944912,0,37,0,104,0,"[-2, 2, -5, 3, -7, 4, -9, 7, -9, 9, -10, 11, -10, 13, -9, 14, -9, 16, -8, 16, -7, 17, -6, 16, -4, 13, -3, 10, -2, 6, -2, 2, -2, -2, -2, -6, -3, -10, -4, -13, -7, -15, -9, -18, -12, -19, -15, -21, -18, -22, -19, -21, -19, -19, -16, -17, -13, -15, -9, -13, -4, -11, 1, -9, 6, -7, 10, -5, 15, -4, 18, -3, 20, -2, 20, -2, 19, -2, 19, -2, 16, -2, 15, -2, 11, -2, 9, -1, 5, 0, 2, 1, -1, 3, -4, 5, -7, 7, -9, 9, -11, 11, -11, 12]"
CSI_DATA,639351,2023-10-19 19:25:17.229,1,applause,d4:da:21:98:07:d9,-29,11,0,0,0,0,0,0,0,0,0,-96,0,12,2,3062951448,0,37,0,104,0,"[0, 2, -1, 5, -1, 7, -1, 10, 0, 12, 1, 14, 2, 15, 4, 15, 5, 16, 5, 17, 6, 17, 6, 15, 5, 11, 4, 9, 2, 5, 0, 2, -2, -1, -5, -4, -8, -6, -12, -7, -15, -7, -18, -7, -21, -7, -25, -7, -26, -6, -27, -4, -25, -2, -23, -3, -19, -3, -14, -4, -10, -6, -5, -8, 0, -9, 4, -11, 8, -12, 12, -13, 14, -14, 14, -14, 14, -13, 14, -13, 11, -12, 10, -11, 8, -9, 5, -7, 4, -4, 2, 0, 1, 3, 0, 6, -1, 9, -2, 12, -2, 14, -1, 15]"
CSI_DATA,639352,2023-10-19 19:25:17.241,1,applause,d4:da:21:98:07:d9,-29,11,0,0,0,0,0,0,0,0,0,-96,0,12,2,3062963448,0,37,0,104,0,"[2, -1, 5, 1, 7, 2, 10, 2, 12, 2, 14, 1, 15, 0, 16, -1, 17, -2, 17, -3, 17, -4, 15, -4, 12, -4, 10, -3, 5, -2, 2, -1, -2, 1, -5, 3, -8, 6, -10, 9, -11, 11, -12, 15, -11, 17, -12, 21, -12, 23, -11, 24, -9, 22, -9, 20, -8, 16, -8, 11, -8, 6, -8, 1, -8, -4, -8, -9, -8, -13, -9, -16, -8, -18, -8, -19, -8, -18, -8, -18, -7, -16, -7, -13, -6, -11, -4, -8, -2, -5, 0, -3, 3, -1, 6, 2, 8, 4, 10, 5, 13, 6, 14, 7]"
CSI_DATA,639353,2023-10-19 19:25:17.247,1,applause,d4:da:21:98:07:d9,-29,11,0,0,0,0,0,0,0,0,0,-96,0,12,2,3062971446,0,37,0,104,0,"[1, -3, 3, -4, 5, -6, 7, -8, 8, -10, 8, -13, 9, -14, 8, -15, 7, -17, 7, -17, 6, -17, 5, -16, 3, -13, 2, -10, 1, -6, 0, -2, 0, 2, 0, 6, 1, 10, 2, 13, 4, 15, 6, 18, 8, 19, 11, 22, 13, 23, 14, 22, 14, 20, 12, 18, 9, 15, 5, 12, 1, 9, -4, 6, -8, 3, -12, 1, -16, -1, -18, -3, -20, -5, -20, -5, -19, -5, -19, -5, -17, -4, -15, -3, -12, -2, -9, -2, -5, -2, -2, -2, 2, -3, 5, -4, 8, -5, 11, -6, 13, -7, 14, -7]"
CSI_DATA,639354,2023-10-19 19:25:17.260,1,applause,d4:da:21:98:07:d9,-29,11,0,0,0,0,0,0,0,0,0,-96,0,12,2,3062984443,0,37,0,104,0,"[1, -3, 3, -5, 5, -6, 7, -9, 7, -11, 8, -13, 8, -15, 7, -16, 7, -17, 6, -18, 5, -18, 4, -17, 3, -13, 2, -11, 1, -6, 0, -2, 0, 2, 0, 6, 1, 10, 2, 14, 4, 16, 6, 19, 9, 20, 11, 23, 13, 23, 14, 23, 14, 21, 12, 19, 9, 16, 5, 12, 1, 10, -4, 6, -9, 3, -12, 0, -16, -3, -19, -5, -20, -6, -20, -6, -19, -6, -19, -6, -17, -5, -15, -4, -12, -3, -9, -3, -5, -2, -2, -2, 2, -3, 6, -3, 9, -4, 12, -4, 14, -5, 15, -6]"
